center_temp,max_temp,min_temp
0.258945362248996,0.057142857142857106,0.0470048732738514
0.258945362248996,0.15630252100840336,0.00040724149420606423
0.16465863453815266,0.025210084033613467,0.07445114953167228
0.23293172690763053,0.05882352941176472,0.00040724149420606423
0.22088353413654616,0.06974789915966384,0.0470048732738514
0.2650602409638554,0.10983193277310926,0.0470048732738514
0.258945362248996,0.21932773109243697,0.00040724149420606423
0.24096385542168675,0.17394957983193282,0.00040724149420606423
0.4136546184738955,0.30588235294117655,0.00040724149420606423
0.258945362248996,0.07394957983193273,0.0470048732738514
0.258945362248996,0.16479888235294116,0.02702602643367517
0.258945362248996,0.16479888235294116,0.03430701072402602
0.258945362248996,0.16479888235294116,0.03541766934458801
0.258945362248996,0.16479888235294116,0.03825601915269088
0.258945362248996,0.16479888235294116,0.036651734478545785
0.258945362248996,0.16479888235294116,0.0470048732738514
0.258945362248996,0.16479888235294116,0.0470048732738514
0.258945362248996,0.16479888235294116,0.04183480804116842
0.258945362248996,0.16479888235294116,0.0470048732738514
0.258945362248996,0.16479888235294116,0.0470048732738514
0.258945362248996,0.23445378151260504,0.041587995014376856
0.258945362248996,0.16479888235294116,0.038132612639295106
0.258945362248996,0.16479888235294116,0.0470048732738514
0.258945362248996,0.16479888235294116,0.0470048732738514
0.258945362248996,0.16479888235294116,0.03949008428664865
0.258945362248996,0.2588235294117647,0.03628151493835845
0.258945362248996,0.16479888235294116,0.03578788888477534
0.258945362248996,0.16479888235294116,0.0470048732738514
0.258945362248996,0.16479888235294116,0.03455382375081757
0.258945362248996,0.16479888235294116,0.0470048732738514
0.258945362248996,0.16479888235294116,0.037762393099107776
0.258945362248996,0.16479888235294116,0.040477336393814865
0.258945362248996,0.16479888235294116,0.037021954018733115
0.258945362248996,0.16479888235294116,0.0470048732738514
0.258945362248996,0.16479888235294116,0.0392432712598571
0.258945362248996,0.16479888235294116,0.0470048732738514
0.258945362248996,0.16479888235294116,0.03418360421063024
0.258945362248996,0.16479888235294116,0.0470048732738514
0.42771084337349397,0.2285714285714286,0.7531869732084459
0.258945362248996,0.16479888235294116,0.03578788888477534
0.3413654618473895,0.1899159663865546,0.062110498192094576
0.2911646586345381,0.14369747899159663,0.012747892833783766
0.258945362248996,0.16479888235294116,0.0470048732738514
