center_temp,max_temp,min_temp,reconstruction_error,anomaly_percentile,anomaly_std
0.258945362248996,0.057142857142857106,0.0470048732738514,0.0020481106393725277,False,False
0.258945362248996,0.15630252100840336,0.00040724149420606423,0.00047532322788882293,False,False
0.16465863453815266,0.025210084033613467,0.07445114953167228,0.0035711346913083475,False,False
0.23293172690763053,0.05882352941176472,0.00040724149420606423,0.0009693392506219782,False,False
0.22088353413654616,0.06974789915966384,0.0470048732738514,0.001001310881805238,False,False
0.2650602409638554,0.10983193277310926,0.0470048732738514,0.0006367532077444337,False,False
0.258945362248996,0.21932773109243697,0.00040724149420606423,0.0015370930133402746,False,False
0.24096385542168675,0.17394957983193282,0.00040724149420606423,0.0006086610202482064,False,False
0.4136546184738955,0.30588235294117655,0.00040724149420606423,0.008605317603683082,False,False
0.258945362248996,0.07394957983193273,0.0470048732738514,0.0014576787339151181,False,False
0.258945362248996,0.16479888235294116,0.02702602643367517,8.063237515467922e-05,False,False
0.258945362248996,0.16479888235294116,0.03430701072402602,3.1241397087531545e-05,False,False
0.258945362248996,0.16479888235294116,0.03541766934458801,2.6465623736117265e-05,False,False
0.258945362248996,0.16479888235294116,0.03825601915269088,1.755063117265196e-05,False,False
0.258945362248996,0.16479888235294116,0.036651734478545785,2.2009543828384176e-05,False,False
0.258945362248996,0.16479888235294116,0.0470048732738514,1.952617303015873e-05,False,False
0.258945362248996,0.16479888235294116,0.0470048732738514,1.952617303015873e-05,False,False
0.258945362248996,0.16479888235294116,0.04183480804116842,1.3010376889971683e-05,False,False
0.258945362248996,0.16479888235294116,0.0470048732738514,1.952617303015873e-05,False,False
0.258945362248996,0.16479888235294116,0.0470048732738514,1.952617303015873e-05,False,False
0.258945362248996,0.23445378151260504,0.041587995014376856,0.0009351929118074563,False,False
0.258945362248996,0.16479888235294116,0.038132612639295106,1.7840305034850367e-05,False,False
0.258945362248996,0.16479888235294116,0.0470048732738514,1.952617303015873e-05,False,False
0.258945362248996,0.16479888235294116,0.0470048732738514,1.952617303015873e-05,False,False
0.258945362248996,0.16479888235294116,0.03949008428664865,1.5143703643718352e-05,False,False
0.258945362248996,0.2588235294117647,0.03628151493835845,0.0018080463735036204,False,False
0.258945362248996,0.16479888235294116,0.03578788888477534,2.5034819631033367e-05,False,False
0.258945362248996,0.16479888235294116,0.0470048732738514,1.952617303015873e-05,False,False
0.258945362248996,0.16479888235294116,0.03455382375081757,3.0117331962380727e-05,False,False
0.258945362248996,0.16479888235294116,0.0470048732738514,1.952617303015873e-05,False,False
0.258945362248996,0.16479888235294116,0.037762393099107776,1.8762123567300764e-05,False,False
0.258945362248996,0.16479888235294116,0.040477336393814865,1.385633946966841e-05,False,False
0.258945362248996,0.16479888235294116,0.037021954018733115,2.0846914126446495e-05,False,False
0.258945362248996,0.16479888235294116,0.0470048732738514,1.952617303015873e-05,False,False
0.258945362248996,0.16479888235294116,0.0392432712598571,1.5553776739564664e-05,False,False
0.258945362248996,0.16479888235294116,0.0470048732738514,1.952617303015873e-05,False,False
0.258945362248996,0.16479888235294116,0.03418360421063024,3.181678452145607e-05,False,False
0.258945362248996,0.16479888235294116,0.0470048732738514,1.952617303015873e-05,False,False
0.42771084337349397,0.2285714285714286,0.7531869732084459,0.04542831166294565,True,True
0.258945362248996,0.16479888235294116,0.03578788888477534,2.5034819631033367e-05,False,False
0.3413654618473895,0.1899159663865546,0.062110498192094576,0.0008460698426546641,False,False
0.2911646586345381,0.14369747899159663,0.012747892833783766,0.0008105852541564589,False,False
0.258945362248996,0.16479888235294116,0.0470048732738514,1.952617303015873e-05,False,False
0.258945362248996,0.16479888235294116,0.02628558735330051,8.742469185561102e-05,False,False
0.258945362248996,0.16479888235294116,0.0470048732738514,1.952617303015873e-05,False,False
0.258945362248996,0.16479888235294116,0.0470048732738514,1.952617303015873e-05,False,False
0.29518072289156627,0.08487394957983196,0.00040724149420606423,0.0023795775462824324,False,False
0.19076305220883538,0.07647058823529412,0.012747892833783766,0.0002566319632342496,False,False
0.258945362248996,0.16479888235294116,0.04109436896079375,1.3339316743141708e-05,False,False
0.17269076305220876,0.07815126050420168,0.00040724149420606423,0.0003158762734252626,False,False
0.3413654618473895,0.25966386554621845,0.025088544173361472,0.002185527117412574,False,False
0.1686746987951807,0.030252100840336138,0.0470048732738514,0.002019213038142859,False,False
0.24297188755020083,0.2504201680672269,1.0,0.1271887518335452,True,True
0.16666666666666674,0.06554621848739495,0.00040724149420606423,0.000439301839145458,False,False
0.2831325301204819,0.24369747899159666,0.00040724149420606423,0.00217710119980591,False,False
0.1887550200803213,0.1092436974789916,0.00040724149420606423,0.00020237390308087697,False,False
0.20080321285140568,0.2008403361344538,0.012747892833783766,0.001769910616661436,False,False
0.10040160642570284,0.013445378151260512,0.00040724149420606423,0.0024264043515592314,False,False
0.18273092369477906,0.15798319327731092,0.00040724149420606423,0.0011076424469746624,False,False
0.2449799196787149,0.23697478991596643,0.00040724149420606423,0.0022971127273400567,False,False
0.054216867469879526,0.16479888235294116,0.00040724149420606423,0.00895680126981746,False,False
0.09036144578313254,0.08151260504201685,0.00040724149420606423,0.0028491844463773256,False,False
0.10843373493975905,0.1689075630252101,1.0,0.1634282986784907,True,True
0.16465863453815266,0.05882352941176472,0.00040724149420606423,0.0005141463907597572,False,False
0.258945362248996,0.16479888235294116,0.0470048732738514,1.952617303015873e-05,False,False
0.2650602409638554,0.16479888235294116,0.00040724149420606423,0.0005904468110136868,False,False
0.2650602409638554,0.1151260504201681,0.00040724149420606423,0.0006981520536561574,False,False
0.258945362248996,0.16479888235294116,0.0470048732738514,1.952617303015873e-05,False,False
0.21485943775100402,0.07563025210084034,0.025088544173361472,0.0004213995999796691,False,False
